,precision,recall,f1-score,support
Bacterialblight,0.757679180887372,0.7708333333333334,0.7641996557659209,288.0
Blast,0.7130434782608696,0.8282828282828283,0.7663551401869159,297.0
Brownspot,0.8926380368098159,0.879154078549849,0.8858447488584474,331.0
Tungro,0.9684684684684685,0.7962962962962963,0.8739837398373984,270.0
accuracy,0.821247892074199,0.821247892074199,0.821247892074199,0.821247892074199
macro avg,0.8329572911066315,0.8186416341155768,0.8225958211621707,1186.0
weighted avg,0.8321544635831171,0.821247892074199,0.8236822926849434,1186.0
