epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.6651917695999146,0.7613828182220459,0.8471428155899048,0.6359171867370605
2,0.8162663578987122,0.8414839506149292,0.5122828483581543,0.4435953199863434
3,0.8657817244529724,0.8794266581535339,0.37724336981773376,0.35340583324432373
4,0.8942267298698425,0.8971332311630249,0.30108413100242615,0.2856003940105438
5,0.9256215691566467,0.9182124733924866,0.22989721596240997,0.23534263670444489
