,precision,recall,f1-score,support
Bacterialblight,0.8432203389830508,0.6909722222222222,0.7595419847328244,288.0
Blast,0.7562724014336918,0.7104377104377104,0.7326388888888888,297.0
Brownspot,0.8113207547169812,0.9093655589123867,0.8575498575498576,331.0
Tungro,0.8533333333333334,0.9481481481481482,0.8982456140350877,270.0
accuracy,0.815345699831366,0.815345699831366,0.815345699831366,0.815345699831366
macro avg,0.8160367071167643,0.8147309099301169,0.8119940863016647,1186.0
weighted avg,0.8148461472717081,0.815345699831366,0.8117345364599746,1186.0
