,precision,recall,f1-score,support
Bacterialblight,0.9552238805970149,0.8888888888888888,0.920863309352518,288.0
Blast,0.8722044728434505,0.9191919191919192,0.8950819672131147,297.0
Brownspot,0.945619335347432,0.945619335347432,0.945619335347432,331.0
Tungro,0.9671532846715328,0.9814814814814815,0.9742647058823529,270.0
accuracy,0.9333895446880269,0.9333895446880269,0.9333895446880269,0.9333895446880269
macro avg,0.9350502433648575,0.9337954062274304,0.9339573294488545,1186.0
weighted avg,0.9344693026203702,0.9333895446880269,0.93347339624288,1186.0
