,precision,recall,f1-score,support
Bacterialblight,0.8653846153846154,0.9375,0.9,288.0
Blast,0.9069767441860465,0.9191919191919192,0.9130434782608695,297.0
Brownspot,0.9741100323624595,0.9093655589123867,0.940625,331.0
Tungro,0.9886363636363636,0.9666666666666667,0.9775280898876404,270.0
accuracy,0.9317032040472175,0.9317032040472175,0.9317032040472175,0.9317032040472175
macro avg,0.9337769388923712,0.9331810361927432,0.9327991420371274,1186.0
weighted avg,0.934203289332055,0.9317032040472175,0.9322541081898322,1186.0
