,precision,recall,f1-score,support
Bacterialblight,0.7861842105263158,0.8298611111111112,0.8074324324324325,288.0
Blast,0.7819548872180451,0.7003367003367004,0.738898756660746,297.0
Brownspot,0.8491620111731844,0.918429003021148,0.8824383164005806,331.0
Tungro,0.9457364341085271,0.9037037037037037,0.9242424242424242,270.0
accuracy,0.8389544688026982,0.8389544688026982,0.8389544688026982,0.8389544688026982
macro avg,0.8407593857565181,0.8380826295431658,0.8382529824340458,1186.0
weighted avg,0.8390245506264459,0.8389544688026982,0.8377959599855217,1186.0
