,precision,recall,f1-score,support
Bacterialblight,0.7021276595744681,0.9166666666666666,0.7951807228915663,288.0
Blast,0.8599033816425121,0.5993265993265994,0.7063492063492064,297.0
Brownspot,0.8660714285714286,0.879154078549849,0.8725637181409296,331.0
Tungro,0.9213483146067416,0.9111111111111111,0.9162011173184358,270.0
accuracy,0.8254637436762225,0.8254637436762225,0.8254637436762225,0.8254637436762225
macro avg,0.8373626960987877,0.8265646139135565,0.8225736911750345,1186.0
weighted avg,0.8372999646764215,0.8254637436762225,0.8220831828491659,1186.0
