,precision,recall,f1-score,support
Bacterialblight,0.9537366548042705,0.9305555555555556,0.9420035149384886,288.0
Blast,0.9266666666666666,0.936026936026936,0.931323283082077,297.0
Brownspot,0.9495548961424333,0.9667673716012085,0.9580838323353293,331.0
Tungro,0.9925373134328358,0.9851851851851852,0.9888475836431226,270.0
accuracy,0.954468802698145,0.954468802698145,0.954468802698145,0.954468802698145
macro avg,0.9556238827615515,0.9546337620922214,0.9550645534997544,1186.0
weighted avg,0.954623863266139,0.954468802698145,0.9544811327692232,1186.0
